Features,XGBoost_Feature_Importance,RF_Importance,AverageImportance
DA_DEMD,0.6274643830955028,0.45760565878123033,0.5425350209383666
DEMAND,0.8303664408624172,0.9990342840033974,0.9147003624329073
DA_LMP,0.5138869162648916,0.6043725515937679,0.5591297339293297
DA_EC,0.48781509250402444,0.586199140828257,0.5370071166661408
DA_CC,0.6752075046300888,0.1443213796083081,0.4097644421191985
DA_MLC,0.6557412229478359,0.590399812050353,0.6230705174990945
RT_LMP,0.4947111681103706,0.39053048086516595,0.4426208244877683
RT_EC,0.49130782373249526,0.4850151811613976,0.48816150244694645
RT_CC,0.9415617406368256,0.08312723927882301,0.5123444899578243
RT_MLC,0.639213989675045,0.705452606422387,0.672333298048716
DryBulb,0.6065062455832958,0.0002923678766255007,0.3033993067299606
DewPnt,0.5612060397863388,0.8503180154518639,0.7057620276191013
RegCP,0.5230877984315156,0.7683925965739554,0.6457401975027355
